Trinity geneIDD	Automated name	Manually-curated name
c62161_g1	c62161-g1 4-to-1 DOC2B double C2 domain beta	Synaptotagmin VII F
c62173_g1	c62173-g1	NA
c6218_g1	c6218-g1	NA
c62189_g1	c62189-g1	NA
c62206_g1	c62206-g1	NA
c62226_g1	c62226-g1	NA
c62229_g1	c62229-g1	NA
c62252_g1	c62252-g1	NA
c62275_g1	c62275-g1	NA
c62277_g1	c62277-g1	NA
c62289_g1	c62289-g1	NA
c62312_g1	c62312-g1	NA
c62317_g1	c62317-g1	NA
c62321_g1	c62321-g1 MBD4 (Methyl-CpG binding domain protein 4) - emapper OG	NA
c6233_g1	c6233-g1	NA
c62342_g1	c62342-g1	NA
c62365_g1	c62365-g1	NA
c62367_g1	c62367-g1	NA
c62385_g1	c62385-g1	NA
c62396_g1	c62396-g1	NA
c62410_g1	c62410-g1	NA
c62421_g1	c62421-g1	NA
c62423_g1	c62423-g1	NA
c62428_g1	c62428-g1	NA
c62511_g1	c62511-g1	NA
c62545_g1	c62545-g1	NA
c6255_g1	c6255-g1	NA
c62551_g1	c62551-g1	NA
c62599_g1	c62599-g1	NA
c62603_g1	c62603-g1	NA
c6261_g1	c6261-g1	NA
c62632_g1	c62632-g1	NA
c62637_g1	c62637-g1	NA
c6266_g1	c6266-g1	NA
c6266_g2	c6266-g2	NA
c6268_g1	c6268-g1	NA
c6272_g1	c6272-g1	NA
c62733_g1	c62733-g1	NA
c62734_g1	c62734-g1	NA
c62736_g1	c62736-g1	NA
c62774_g1	c62774-g1	NA
c62777_g1	c62777-g1	NA
c62784_g1	c62784-g1	NA
c62788_g1	c62788-g1	NA
c62790_g1	c62790-g1	NA
c62820_g1	c62820-g1	NA
c62823_g1	c62823-g1 PNMT homolog	PNMT family ortholog J
c62836_g1	c62836-g1 1-to-1 SLC26A11 solute carrier family 26 member 11	NA
c62853_g1	c62853-g1	NA
c62865_g1	c62865-g1 1-to-1 TRMT61B tRNA methyltransferase 61B	NA
c6287_g1	c6287-g1	NA
c62875_g1	c62875-g1	NA
c62881_g1	c101676-g4 1-to-1 MARF1 meiosis regulator and mRNA stability factor 1	NA
c6289_g1	c6289-g1	NA
c62898_g1	c62898-g1	NA
c6292_g1	c6292-g1	NA
c62944_g1	c62944-g1	NA
c62945_g1	c62945-g1	NA
c62948_g1	c62948-g1	NA
c62962_g1	c62962-g1	NA
c62965_g1	c62965-g1	NA
c62976_g1	c62976-g1	NA
c6298_g1	c6298-g1 C6orf183 (chromosome 6 open reading frame 183) - blastp	NA
c63031_g1	c100067-g1 MAPKBP1 (mitogen-activated protein kinase binding protein 1) - blastp	NA
c63040_g1	c63040-g1	NA
c63064_g1	c63064-g1	NA
c63069_g1	c63069-g1	NA
c63089_g1	c63089-g1	NA
c63090_g1	c63090-g1	NA
c63107_g1	c63107-g1	NA
c63113_g1	c63113-g1	NA
c63117_g1	c63117-g1	NA
c63133_g1	c63133-g1	NA
c63134_g1	c63134-g1	NA
c63164_g1	c63164-g1	NA
c63177_g1	c63177-g1	NA
c632_g1	c632-g1	NA
c63201_g1	c63201-g1 (EFh) - emapper OG	NA
c63209_g1	c63209-g1	NA
c63220_g1	c63220-g1	NA
c63227_g1	c63227-g1	NA
c63233_g1	c63233-g1 1-to-1 NDUFS4 NADH:ubiquinone oxidoreductase subunit S4	NA
c63237_g1	c63237-g1	NA
c63245_g1	c63245-g1	NA
c63277_g1	c49979-g1	NA
c6329_g1	c6329-g1	NA
c63306_g1	c63306-g1	NA
c63315_g1	c63315-g1	NA
c6333_g1	c6333-g1	NA
c6335_g1	c6335-g1	NA
c6335_g2	c6335-g2 ANXA7 (annexin A11) - emapper OG	NA
c63357_g1	c63357-g1	NA
c63378_g1	c63378-g1	NA
c6338_g1	c6338-g1	NA
c6338_g2	c6338-g2	NA
c63399_g1	c63399-g1	NA
c63404_g1	c63404-g1	NA
c63406_g1	c63406-g1	NA
c63422_g1	c63422-g1	NA
c6343_g1	c6343-g1	NA
c63438_g1	c63438-g1	NA
c6344_g1	c6344-g1 1-to-1 TTLL5 tubulin tyrosine ligase like 5	NA
c63446_g1	c63446-g1	NA
c63459_g1	c63459-g1	NA
c63466_g1	c63466-g1	NA
c6348_g1	c6348-g1	NA
c63515_g1	c63515-g1	NA
c63526_g1	c63526-g1	NA
c63530_g1	c63530-g1	NA
c63558_g1	c63558-g1	NA
c63610_g1	c63610-g1	NA
c63615_g1	c63615-g1	NA
c63618_g1	c63618-g1	NA
c6363_g1	c6363-g1	NA
c6367_g1	c6367-g1	NA
c63705_g1	c63705-g1	NA
c63718_g1	c63718-g1	NA
c6372_g1	c6372-g1	NA
c63728_g1	c63728-g1	NA
c6380_g1	c6380-g1	NA
c63803_g1	c63803-g1 EEF1D (Eukaryotic translation elongation factor 1 delta (Guanine nucleotide exchange protein)) - ema	NA
c63809_g1	c63809-g1	NA
c63815_g1	c63815-g1	NA
c63822_g1	c63822-g1	NA
c6383_g1	c6383-g1	NA
c63835_g1	c63835-g1	NA
c63858_g1	c63858-g1	NA
c63869_g1	c63869-g1	NA
c63896_g1	c63896-g1	NA
c63918_g1	c63918-g1	NA
c63951_g1	c63951-g1	NA
c63958_g1	c63958-g1	NA
c63984_g1	c63984-g1	NA
c63995_g1	c63995-g1	NA
c64004_g1	c64004-g1	NA
c64006_g1	c64006-g1 TTC18 (Tetratricopeptide repeat domain 18) - emapper OG	NA
c64029_g1	c64029-g1	NA
c6403_g1	c6403-g1	NA
c64034_g1	c64034-g1	NA
c64038_g1	c64038-g1	NA
c64039_g1	c64039-g1	NA
c64051_g1	c64051-g1	NA
c64069_g1	c64069-g1	NA
c64093_g1	c64093-g1	NA
c64114_g1	c64114-g1	NA
c64124_g1	c101734-g1	NA
c64163_g1	c64163-g1	NA
c64196_g1	c64196-g1	NA
c6420_g1	c6420-g1	NA
c6420_g2	c6420-g2	NA
c64200_g1	c64200-g1	NA
c64203_g1	c64203-g1	NA
c64214_g1	c64214-g1	NA
c64231_g1	c64231-g1	NA
c64232_g1	c64232-g1	NA
c64247_g1	c64247-g1	NA
c64255_g1	c64255-g1	NA
c64258_g1	c64258-g1	NA
c64263_g1	c64263-g1	NA
c64283_g1	c64283-g1	NA
c64297_g1	c64297-g1	NA
c64305_g1	c64305-g1	NA
c64317_g1	c64317-g1	NA
c64320_g1	c64320-g1	NA
c64342_g1	c64342-g1 2-to-1 PTK7 protein tyrosine kinase 7 (inactive)	Fat1/3 Fat atypical cadherin
c64365_g1	c64365-g1 (Inherit from euNOG: Translocase of chloroplast) - emapper OG	NA
c64377_g1	c64377-g1	NA
c64386_g1	c64386-g1	NA
c64389_g1	c64389-g1 KDM7A (lysine (K)-specific demethylase 7A) - blastp	NA
c64397_g1	c64397-g1	NA
c64407_g1	c64407-g1	NA
c64409_g1	c64409-g1	NA
c64419_g1	c64419-g1	NA
c6442_g1	c6442-g1	NA
c64427_g1	c64427-g1	NA
c64443_g1	c64443-g1	NA
c64450_g1	c64450-g1 RPRD2 (regulation of nuclear pre-mRNA domain containing 2) - blastp	NA
c64494_g1	c64494-g1	NA
c64498_g1	c64498-g1	NA
c6450_g1	c6450-g1	NA
c64512_g1	c64512-g1	NA
c64527_g1	c64527-g1	NA
c6453_g1	c6453-g1	NA
c64535_g1	c64535-g1	NA
c6455_g1	c6455-g1	NA
c6457_g1	c6457-g1	NA
c64587_g1	c64587-g1	NA
c64590_g1	c64590-g1	NA
c64594_g1	c64594-g1	NA
c64605_g1	c64605-g1	NA
c64606_g1	c64606-g1	NA
c64622_g1	c64622-g1	NA
c64633_g1	c64633-g1	NA
c64651_g1	c64651-g1	NA
c64667_g1	c64667-g1	NA
c64678_g1	c110392-g1 1-to-1 SUPT20H SPT20 homolog, SAGA complex component	NA
c64681_g1	c112019-g1 1-to-1 ATR ATR serine/threonine kinase	NA
c64727_g1	c64727-g1	NA
c6474_g1	c6474-g1	NA
c64753_g1	c64753-g1	NA
c64764_g1	c49360-g1 1-to-1 WDR27 WD repeat domain 27	NA
c64772_g1	c64772-g1	NA
c64782_g1	c64782-g1	NA
c64827_g1	c64827-g1	NA
c64830_g1	c64830-g1	NA
c64847_g1	c64847-g1 (Tubulin-C) - emapper OG	NA
c64862_g1	c64862-g1	NA
c64873_g1	c112709-g1 (Gamma-aminobutyric acid (GABA) B receptor) - emapper OG	Gabbr1/2 G Gamma-aminobutyric acid B receptor
c64882_g1	c64882-g1	NA
c6491_g1	c6491-g1	NA
c64914_g1	c108332-g1 1-to-1 VPS13D vacuolar protein sorting 13 homolog D	NA
c64918_g1	c64918-g1	NA
c64936_g1	c64936-g1	NA
c6494_g1	c6494-g1	NA
c6494_g2	c6494-g2	NA
c64961_g1	c64961-g1	NA
c64968_g1	c64968-g1	NA
c64971_g1	c64971-g1	NA
c6500_g1	c6500-g1	NA
c65007_g1	c65007-g1	NA
c65016_g1	c65016-g1	NA
c65024_g1	c65024-g1	NA
c65038_g1	c65038-g1	NA
c65039_g1	c65039-g1	NA
c65047_g1	c65047-g1	NA
c65048_g1	c65048-g1	NA
c65068_g1	c65068-g1 NAGLU (N-acetylglucosaminidase, alpha) - emapper OG	NA
c65099_g1	c65099-g1 (DHHC palmitoyltransferase) - emapper OG	NA
c65149_g1	c65149-g1	NA
c65196_g1	c65196-g1	NA
c65248_g1	c65248-g1	NA
c6525_g1	c6525-g1 1-to-1 MIIP migration and invasion inhibitory protein	NA
c65252_g1	c65252-g1	NA
c65263_g1	c65263-g1	NA
c65267_g1	c65267-g1	NA
c65287_g1	c65287-g1	NA
c65287_g2	c65287-g2	NA
c6533_g1	c6533-g1	NA
c65341_g1	c65341-g1	NA
c65346_g1	c65346-g1	NA
c6536_g1	c6536-g1	NA
c65399_g1	c65399-g1	NA
c65418_g1	c65418-g1	NA
c65431_g1	c65431-g1	NA
c65432_g1	c65432-g1	NA
c6544_g1	c6544-g1	NA
c65460_g1	c65460-g1	NA
c65470_g1	c65470-g1	NA
c65471_g1	c65471-g1	NA
c65488_g1	c65488-g1	NA
c65492_g1	c65492-g1 1-to-1 ANKAR ankyrin and armadillo repeat containing	NA
c65529_g1	c65529-g1	NA
c6553_g1	c6553-g1	NA
c65532_g1	c65532-g1	NA
c65537_g1	c65537-g1	NA
c6557_g1	c6557-g1	NA
c65571_g1	c65571-g1	NA
c65577_g1	c65577-g1 (Inherit from COG: beta SUBUNIT) - emapper OG	NA
c65593_g1	c65593-g1	NA
c65594_g1	c65594-g1	NA
c65635_g1	c65635-g1	NA
c65638_g1	c65638-g1	NA
c65650_g1	c65650-g1	NA
c65661_g1	c65661-g1	NA
c65673_g1	c65673-g1	NA
c65674_g1	c65674-g1	NA
c65723_g1	c65723-g1 1-to-1 RTEL1 regulator of telomere elongation helicase 1	NA
c65739_g1	c65739-g1	NA
c6576_g1	c6576-g1	NA
c65760_g1	c65760-g1	NA
c65764_g1	c65764-g1	NA
c65775_g1	c65775-g1	NA
c6581_g1	c6581-g1	NA
c6584_g1	c6584-g1	NA
c65863_g1	c65863-g1	NA
c65892_g1	c65892-g1	NA
c6592_g1	c6592-g1	NA
c65933_g1	c65933-g1	NA
c6594_g1	c6594-g1	NA
c65955_g1	c65955-g1	NA
c65969_g1	c23480-g1 WRN (Werner syndrome, RecQ helicase-like) - emapper OG	NA
c65988_g1	c65988-g1	NA
c6599_g1	c6599-g1	NA
c66010_g1	c66010-g1	NA
c6605_g1	c6605-g1	NA
c6606_g1	c6606-g1	NA
c66089_g1	c66089-g1	NA
c6612_g1	c6612-g1	NA
c66166_g1	c66166-g1	NA
c66172_g1	c66172-g1	NA
c66222_g1	c66222-g1	NA
c6624_g1	c6624-g1	NA
c66253_g1	c66253-g1	NA
c66285_g1	c66285-g1	NA
c66321_g1	c66321-g1	NA
c66339_g1	c66339-g1	NA
c66389_g1	c66389-g1	NA
c66432_g1	c66432-g1	NA
c66453_g1	c66453-g1	NA
c66459_g1	c66459-g1	NA
c66491_g1	c66491-g1	NA
c66529_g1	c66529-g1	NA
c66537_g1	c66537-g1	NA
c66555_g1	c66555-g1	NA
c66560_g1	c66560-g1	NA
c66566_g1	c66566-g1	NA
c66588_g1	c66588-g1	NA
c66606_g1	c66606-g1	NA
c66607_g1	c66607-g1	NA
c66655_g1	c66655-g1	NA
c66660_g1	c66660-g1	NA
c66684_g1	c66684-g1	NA
c6670_g1	c6670-g1	NA
c66722_g1	c66722-g1	NA
c66727_g1	c66727-g1	NA
c66737_g1	c66737-g1	NA
c66782_g1	c66782-g1	NA
c6680_g1	c6680-g1	NA
c66817_g1	c66817-g1	NA
c6682_g1	c6682-g1	NA
c66844_g1	c66844-g1	NA
c6686_g1	c6686-g1	NA
c66873_g1	c66873-g1	NA
c66886_g1	c66886-g1	NA
c66903_g1	c66903-g1	NA
c66905_g1	c66905-g1 1-to-1 HMGB2 high mobility group box 2	NA
c66911_g1	c66911-g1	NA
c66921_g1	c66921-g1	NA
c66928_g1	c66928-g1	NA
c66951_g1	c66951-g1	NA
c6698_g1	c6698-g1 (selenoprotein) - emapper OG	NA
c6698_g2	c6698-g2 (Uncharacterized ACR, YdiU/UPF0061 family) - emapper OG	NA
c66989_g1	c66989-g1	NA
c6703_g1	c6703-g1	NA
c67064_g1	c67064-g1	NA
c67065_g1	c67065-g1	NA
c67087_g1	c67087-g1	NA
c67117_g1	c67117-g1	NA
c67132_g1	c67132-g1	NA
c67133_g1	c67133-g1	NA
c6715_g1	c34258-g1 1-to-1 COG7 component of oligomeric golgi complex 7	NA
c67156_g1	c67156-g1	NA
c67184_g1	c67184-g1	NA
c67198_g1	c67198-g1 3-to-1 WSCD1 WSC domain containing 1	NA
c672_g1	c108531-g1	NA
c67239_g1	c67239-g1	NA
c67258_g1	c67258-g1	NA
c67297_g1	c67297-g1	NA
c67335_g1	c67335-g1	NA
c67374_g1	c67374-g1 (MAPEG family) - emapper OG	NA
c67377_g1	c67377-g1	NA
c6739_g1	c6739-g1	NA
c6741_g1	c6741-g1	NA
c67416_g1	c28590-g1 1-to-1 WDR63 WD repeat domain 63	NA
c67420_g1	c67420-g1	NA
c67438_g1	c67438-g1	NA
c67484_g1	c67484-g1	NA
c6749_g1	c6749-g1	NA
c67495_g1	c67495-g1	NA
c675_g1	c675-g1	NA
c6751_g1	c6751-g1	NA
c67512_g1	c67512-g1	NA
c67536_g1	c67536-g1	NA
c6758_g1	c6758-g1	NA
c67597_g1	c67597-g1	NA
c67615_g1	c67615-g1	NA
c67640_g1	c67640-g1 1-to-1 TAF6 TATA-box binding protein associated factor 6	Taf6 TATA-box binding protein associated factor 6
c6765_g1	c6765-g1	NA
c67657_g1	c67657-g1	NA
c67678_g1	c67678-g1	NA
c67679_g1	c67679-g1	NA
c6768_g1	c6768-g1	NA
c67688_g1	c67688-g1	NA
c67714_g1	c67714-g1	NA
c67723_g1	c36010-g2	NA
c6775_g1	c6775-g1	NA
c6782_g1	c6782-g1	NA
c67836_g1	c67836-g1	NA
c67873_g1	c67873-g1	NA
c67887_g1	c67887-g1 1-to-1 ARHGEF17 Rho guanine nucleotide exchange factor 17	NA
c67889_g1	c67889-g1	NA
c67915_g1	c67915-g1	NA
c67980_g1	c67980-g1	NA
c68009_g1	c68009-g1	NA
c68019_g1	c68019-g1	NA
c6808_g1	c39590-g1 5-to-2 FLNA,FLNB filamin A	NA
c68081_g1	c68081-g1	NA
c68101_g1	c68101-g1	NA
c68108_g1	c68108-g1	NA
c68150_g1	c68150-g1	NA
c68153_g1	c68153-g1 RNF17 (ring finger protein 17) - emapper OG	NA
c6817_g1	c6817-g1	NA
c68170_g1	c68170-g1 1-to-1 DCLRE1A DNA cross-link repair 1A	NA
c68188_g1	c68188-g1	NA
c68189_g1	c100023-g1 (Spastic ataxia of Charlevoix-Saguenay (Sacsin)) - emapper OG	NA
c68215_g1	c68215-g1	NA
c68218_g1	c68218-g1	NA
c6822_g1	c6822-g1	NA
c68229_g1	c68229-g1	NA
c68242_g1	c68242-g1	NA
c6825_g1	c6825-g1	NA
c68302_g1	c68302-g1	NA
c68306_g1	c68306-g1	NA
c68317_g1	c68317-g1	NA
c68318_g1	c68318-g1	NA
c68333_g1	c68333-g1	NA
c6835_g1	c6835-g1	NA
c68387_g1	c68387-g1	NA
c6839_g1	c6839-g1 1-to-1 AIDA axin interactor, dorsalization associated	NA
c6839_g2	c6839-g1 1-to-1 AIDA axin interactor, dorsalization associated	NA
c68396_g1	c68396-g1	NA
c68400_g1	c68400-g1	NA
c68410_g1	c68410-g1	NA
c68452_g1	c68452-g1	NA
c68456_g1	c68456-g1	NA
c68459_g1	c68459-g1	NA
c6846_g1	c6846-g1	NA
c68462_g1	c68462-g1	NA
c6850_g1	c6850-g1 1-to-1 UFL1 UFM1 specific ligase 1	NA
c68503_g1	c68503-g1	NA
c68545_g1	c68545-g1	NA
c68547_g1	c68547-g1 1-to-1 AP1M1 adaptor related protein complex 1 mu 1 subunit	NA
c68579_g1	c68579-g1	NA
c6858_g1	c6858-g1	NA
c68584_g1	c68584-g1	NA
c68603_g1	c68603-g1	NA
c6862_g1	c6862-g1	NA
c68628_g1	c68628-g1	NA
c68631_g1	c68631-g1	NA
c68632_g1	c68632-g1	NA
c68633_g1	c68633-g1	NA
c68635_g1	c68635-g1	NA
c68666_g1	c68666-g1	NA
c68691_g1	c68691-g1	NA
c6873_g1	c6873-g1	NA
c68735_g1	c68735-g1	NA
c6874_g1	c6874-g1	NA
c68745_g1	c68745-g1	NA
c68755_g1	c68755-g1	NA
c68756_g1	c68756-g1	NA
c68765_g1	c68765-g1	NA
c68796_g1	c68796-g1	NA
c6883_g1	c6883-g1	NA
c6883_g2	c6883-g2	NA
c68852_g1	c68852-g1	NA
c68853_g1	c68853-g1	NA
c68853_g2	c68853-g2	NA
c6887_g1	c6887-g1	NA
c6887_g2	c6887-g2	NA
c68879_g1	c68879-g1	NA
c68904_g1	c68904-g1	NA
c68923_g1	c68923-g1	NA
c68960_g1	c68960-g1	NA
c6897_g1	c6897-g1	NA
c68984_g1	c68984-g1	NA
c69_g1	c69-g1	NA
c6900_g1	c6900-g1	NA
c69000_g1	c69000-g1	NA
c6902_g1	c6902-g1	NA
c69057_g1	c69057-g1	NA
c69065_g1	c69065-g1	NA
c69071_g1	c69071-g1	NA
c69074_g1	c69074-g1	NA
c69092_g1	c69092-g1	NA
c6913_g1	c6913-g1	NA
c69158_g1	c69158-g1	NA
c69161_g1	c69161-g1	NA
c69175_g1	c69175-g1	NA
c6926_g1	c6926-g1	NA
c69345_g1	c69345-g1	NA
c69363_g1	c69363-g1	NA
c69365_g1	c69365-g1	NA
c69421_g1	c69421-g1	NA
c69459_g1	c69459-g1	NA
c69472_g1	c69472-g1	NA
c6948_g1	c6948-g1	NA
c69483_g1	c69483-g1	NA
c69521_g1	c69521-g1	NA
c69526_g1	c69526-g1	NA
c6953_g1	c6953-g1	NA
c69541_g1	c106793-g1 (Dynein heavy chain, N-terminal region 2) - emapper OG	NA
c69550_g1	c69550-g1	NA
c69596_g1	c69596-g1	NA
c6961_g1	c6961-g1	NA
c6962_g1	c6962-g1	NA
c69623_g1	c69623-g1 UGDH (hyaluronan, chondroitin sulfate, and heparan sulfate (By similarity)) - emapper OG	NA
c69625_g1	c69625-g1	NA
c69629_g1	c69629-g1	NA
c69631_g1	c69631-g1	NA
c69698_g1	c103210-g1 HMR-1 (Cadherins are calcium dependent cell adhesion proteins (By similarity)) - emapper OG	NA
c69725_g1	c69725-g1	NA
c69737_g1	c69737-g1	NA
c69759_g1	c69759-g1	NA
c69802_g1	c69802-g1	NA
c69830_g1	c69830-g1	NA
c69845_g1	c69845-g1	NA
c6987_g1	c6987-g1	NA
c69871_g1	c69871-g1	NA
c6988_g1	c6988-g1	NA
c69906_g1	c69906-g1	NA
c69919_g1	c69919-g1	NA
c69924_g1	c69924-g1	NA
c6993_g1	c6993-g1	NA
c69950_g1	c69950-g1	NA
c6996_g1	c6996-g1	NA
c69973_g1	c69973-g1	NA
c70006_g1	c70006-g1	NA
c70032_g1	c70032-g1	NA
c70036_g1	c70036-g1	NA
c70060_g1	c70060-g1	NA
c70078_g1	c70078-g1	NA
c7011_g1	c7011-g1	NA
c70115_g1	c70115-g1	NA
c70136_g1	c70136-g1	NA
c7015_g1	c7015-g1	NA
c7017_g1	c7017-g1	NA
c70219_g1	c70219-g1	NA
c70227_g1	c70227-g1	NA
c70280_g1	c70280-g1 1-to-1 PFDN4 prefoldin subunit 4	NA
c7032_g1	c7032-g1	NA
c70338_g1	c70338-g1	NA
c70354_g1	c70354-g1	NA
c70374_g1	c70374-g1	NA
c70376_g1	c70376-g1	NA
c70388_g1	c70388-g1	NA
c70421_g1	c70421-g1	NA
c70437_g1	c70437-g1	NA
c7044_g1	c7044-g1	NA
c70447_g1	c70447-g1	NA
c70562_g1	c70562-g1	NA
c70585_g1	c70585-g1	NA
c7063_g1	c7063-g1	NA
c70664_g1	c70664-g1	NA
c70665_g1	c70665-g1	NA
c70691_g1	c70691-g1	NA
c70749_g1	c70749-g1 (Retrotransposon protein) - emapper OG	NA
c70759_g1	c70759-g1	NA
c70778_g1	c70778-g1	NA
c7080_g1	c7080-g1	NA
c70801_g1	c70801-g1	NA
c70809_g1	c70809-g1	NA
c70846_g1	c70846-g1	NA
c7087_g1	c7087-g1	NA
c70886_g1	c70886-g1	NA
c7089_g1	c7089-g1	NA
c70965_g1	c70965-g1 POLR3GL (Polymerase (RNA) III (DNA directed) polypeptide G (32kD)-like) - emapper OG	NA
c70970_g1	c70970-g1	NA
c70973_g1	c70973-g1	NA
c70975_g1	c70975-g1	NA
c71036_g1	c71036-g1 (Inherit from euNOG: Retrotransposon protein) - emapper OG	NA
c71049_g1	c71049-g1	NA
c7106_g1	c7106-g1	NA
c7107_g1	c7107-g1	NA
c7108_g1	c7108-g1	NA
c71086_g1	c71086-g1	NA
c7110_g1	c7110-g1	NA
c71109_g1	c71109-g1	NA
c71118_g1	c71118-g1	NA
c71149_g1	c71149-g1	NA
c71154_g1	c71154-g1	NA
c71172_g1	c71172-g1	NA
c71190_g1	c71190-g1	NA
c7121_g1	c67640-g1 1-to-1 TAF6 TATA-box binding protein associated factor 6	Taf6 TATA-box binding protein associated factor 6
c71222_g1	c71222-g1	NA
c7123_g1	c7123-g1	NA
c71232_g1	c104390-g1 5-to-2 SLC47A1,SLC47A2 solute carrier family 47 member 1	NA
c71245_g1	c30791-g1	NA
c71268_g1	c71268-g1	NA
c71279_g1	c71279-g1	NA
c71341_g1	c71341-g1	NA
c71354_g1	c71354-g1	NA
c71361_g1	c71361-g1	NA
c71378_g1	c71378-g1	NA
c71383_g1	c71383-g1	NA
c71407_g1	c71407-g1	NA
c71422_g1	c71422-g1	NA
c71434_g1	c71434-g1	NA
c71455_g1	c71455-g1	NA
c71528_g1	c71528-g1	NA
c71579_g1	c71579-g1	NA
c71591_g1	c71591-g1 (Chitinase class I) - emapper OG	NA
c71602_g1	c71602-g1	NA
c71621_g1	c71621-g1	NA
c71623_g1	c71623-g1	NA
c7165_g1	c7165-g1	NA
c71658_g1	c71658-g1 1-to-2 LANCL2,LANCL1 LanC like 2	NA
c71661_g1	c71661-g1	NA
c71692_g1	c71692-g1	NA
c71696_g1	c71696-g1	NA
c71724_g1	c71724-g1	NA
c71802_g1	c71802-g1	NA
c7181_g1	c7181-g1	NA
c71832_g1	c71832-g1	NA
c71865_g1	c71865-g1	NA
c71897_g1	c71897-g1	NA
c7191_g1	c7191-g1	NA
c71928_g1	c71928-g1	NA
c71941_g1	c71941-g1	NA
c71942_g1	c71942-g1	NA
c71944_g1	c71944-g1	NA
c71958_g1	c71958-g1	NA
c71976_g1	c71976-g1	NA
c72010_g1	c72010-g1	NA
c72031_g1	c72031-g1 1-to-1 MED10 mediator complex subunit 10	NA
c72039_g1	c38638-g1	NA
c72057_g1	c72057-g1 1-to-1 ERAL1 Era like 12S mitochondrial rRNA chaperone 1	NA
c72060_g1	c72060-g1	NA
c72079_g1	c72079-g1	NA
c72084_g1	c72084-g1	NA
c7209_g1	c7209-g1	NA
c72120_g1	c72120-g1	NA
c72132_g1	c72132-g1	NA
c72133_g1	c72133-g1	NA
c72135_g1	c72135-g1	NA
c72161_g1	c72161-g1	NA
c72171_g1	c72171-g1 1-to-2 RBL2,RBL1 RB transcriptional corepressor like 2	NA
c72190_g1	c72190-g1	NA
c72202_g1	c72202-g1	NA
c7222_g1	c7222-g1	NA
c72229_g1	c72229-g1	NA
c72235_g1	c72235-g1	NA
c72295_g1	c72295-g1	NA
c72364_g1	c72364-g1	NA
c72389_g1	c72389-g1	NA
c72459_g1	c72459-g1	NA
c72473_g1	c72473-g1	NA
c72481_g1	c72481-g1	NA
c7249_g1	c7249-g1	NA
c725_g1	c725-g1	NA
c72504_g1	c72504-g1	NA
c72508_g1	c72508-g1	NA
c72563_g1	c72563-g1	NA
c72595_g1	c72595-g1	NA
c72600_g1	c72600-g1	NA
c72624_g1	c72624-g1	NA
c72640_g1	c72640-g1	NA
c72699_g1	c72699-g1	NA
c72723_g1	c72723-g1	NA
c72767_g1	c72767-g1	NA
c7278_g1	c7278-g1	NA
c72810_g1	c72810-g1	NA
c72868_g1	c72868-g1	NA
c72880_g1	c72880-g1	NA
c7290_g1	c7290-g1 1-to-1 SETX senataxin	NA
c7291_g1	c7291-g1	NA
c72922_g1	c72922-g1	NA
c72944_g1	c72944-g1 (kelch domain containing 3) - emapper OG	NA
c73_g1	c73-g1	NA
c73004_g1	c73004-g1	NA
c73028_g1	c73028-g1	NA
c7303_g1	c7303-g1	NA
c73044_g1	c73044-g1	NA
c7305_g1	c103669-g2	NA
c73061_g1	c73061-g1	NA
c731_g1	c731-g1	NA
c73109_g1	c73109-g1	NA
c7312_g1	c7312-g1	NA
c73123_g1	c73123-g1	NA
c73123_g2	c73123-g2	NA
c73128_g1	c73128-g1 3-to-1 ABCC4 ATP binding cassette subfamily C member 4	NA
c7314_g1	c101327-g1 1-to-1 ESPL1 extra spindle pole bodies like 1, separase	NA
c73170_g1	c73170-g1	NA
c73191_g1	c73191-g1	NA
c73229_g1	c73229-g1	NA
c73237_g1	c73237-g1	NA
c7325_g1	c7325-g1	NA
c73261_g1	c73261-g1	NA
c733_g1	c733-g1	NA
c73348_g1	c73348-g1	NA
c7339_g1	c7339-g1	NA
c73390_g1	c73390-g1	NA
c7340_g1	c7340-g1	NA
c7342_g1	c7342-g1	NA
c7343_g1	c7343-g1	NA
c73436_g1	c73436-g1	NA
c73442_g1	c73442-g1	NA
c73452_g1	c73452-g1	NA
c73457_g1	c73457-g1	NA
c73480_g1	c73480-g1	NA
c73480_g2	c73480-g2	NA
c73502_g1	c73502-g1	NA
c73506_g1	c73506-g1	NA
c73510_g1	c73510-g1	NA
c73528_g1	c73528-g1	NA
c73555_g1	c73555-g1 1-to-1 RAD51C RAD51 paralog C	NA
c7358_g1	c7358-g1	NA
c73604_g1	c73604-g1	NA
c7364_g1	c7364-g1	NA
c73667_g1	c73667-g1	NA
c73675_g1	c73675-g1	NA
c73686_g1	c73686-g1	NA
c73699_g1	c73699-g1	NA
c73704_g1	c73704-g1	NA
c73723_g1	c100752-g1 1-to-1 DNAH3 dynein axonemal heavy chain 3	NA
c73724_g1	c73724-g1	NA
c7373_g1	c7373-g1	NA
c73738_g1	c73738-g1	NA
c73762_g1	c73762-g1	NA
c7378_g1	c7378-g1	NA
c73786_g1	c73786-g1	NA
c73787_g1	c73787-g1	NA
c7380_g1	c7380-g1	NA
c73823_g1	c73823-g1 CCDC105 (coiled-coil domain containing 105) - emapper OG	NA
c73859_g1	c73859-g1	NA
c73883_g1	c73883-g1 14-3-3ZETA (14-3-3 protein) - emapper OG	NA
c73890_g1	c73890-g1	NA
c73897_g1	c73897-g1	NA
